id,name,slack,start_date,end_date,created_at,updated_at,deleted_at,program_id
1,Arches,#arches,2/4/14,4/22/14,6/14/16 19:52,6/14/16 19:52,NULL,1
2,Badlands,#badlands,6/4/14,8/22/14,6/14/16 19:52,6/14/16 19:52,NULL,1
3,Carlsbad,#carlsbad,9/4/14,11/5/14,6/14/16 19:52,6/14/16 19:52,NULL,1
4,Denali,#denali,10/20/14,1/18/15,6/14/16 19:52,6/14/16 19:52,NULL,1
5,Everglades,#everglades,11/18/14,2/24/15,6/14/16 19:52,6/14/16 19:52,NULL,1
6,Franklin,#franklin,2/3/15,5/26/15,6/14/16 19:52,6/14/16 19:52,NULL,1
7,Glacier,#glacier,6/5/15,10/6/15,6/14/16 19:52,6/14/16 19:52,NULL,1
8,Hampton,#hampton,9/22/15,2/6/16,6/14/16 19:52,6/14/16 19:52,NULL,1
9,Apollo,#apollo,3/30/15,7/29/15,6/14/16 19:52,6/14/16 19:52,NULL,4
10,Balboa,#balboa,11/3/15,3/11/16,6/14/16 19:52,6/14/16 19:52,NULL,4
11,Ike,#ike,1/20/16,5/12/16,6/14/16 19:52,6/14/16 19:52,NULL,1
12,Joshua,#joshua,3/8/16,6/30/16,6/14/16 19:52,6/14/16 19:52,NULL,1
13,Kings,#kings,5/23/16,9/15/16,6/14/16 19:52,6/14/16 19:52,NULL,1
14,Lassen,#lassen,7/18/16,11/10/16,7/18/16 19:06,7/18/16 19:06,NULL,1
15,Mammoth,#mammoth,9/26/16,2/2/17,9/26/16 15:58,9/26/16 15:58,NULL,2
16,Niagara,#niagara,10/26/16,3/9/17,10/26/16 2:34,10/26/16 14:30,NULL,2
17,Olympic,#olympic,2/6/17,5/25/17,2/6/17 17:49,2/6/17 17:49,NULL,1
18,Pinnacles,#pinnacles,3/27/17,7/20/17,3/28/17 0:33,3/28/17 0:33,NULL,2
19,Quincy,#quincy,6/5/17,9/22/17,6/5/17 20:12,6/5/17 20:12,NULL,1
20,Redwood,#redwood,7/31/17,12/6/17,7/31/17 19:34,8/8/17 21:59,NULL,2
21,Sequoia,#sequoia,9/27/17,2/15/18,9/27/17 20:22,9/27/17 20:22,NULL,2
22,Teddy,#teddy,1/8/18,5/17/18,1/8/18 13:59,1/8/18 13:59,NULL,2
23,Ulysses,#ulysses,3/5/18,7/19/18,3/5/18 14:22,3/5/18 14:22,NULL,2
24,Voyageurs,#voyageurs,5/29/18,10/11/18,5/25/18 22:25,5/25/18 22:25,NULL,2
25,Wrangell,#wrangell,7/23/18,11/29/18,7/23/18 15:02,7/23/18 15:02,NULL,2
26,Xanadu,#xanadu,9/17/18,2/8/19,9/17/18 19:09,9/17/18 19:09,NULL,2
27,Yosemite,#yosemite,11/5/18,4/3/19,11/5/18 15:26,11/5/18 15:26,NULL,2
28,Staff,#,2/4/14,2/4/14,12/6/18 17:04,12/6/18 17:04,NULL,2
29,Zion,#zion,1/22/19,6/4/19,1/20/19 23:18,1/20/19 23:18,NULL,2
30,Ada,#ada,2/4/19,6/16/19,2/4/19 20:13,2/4/19 20:13,NULL,3
31,Andromeda,#andromeda,3/18/19,7/30/19,3/18/19 20:35,3/18/19 20:35,NULL,2
32,Betelgeuse,#betelgeuse,5/28/19,10/8/19,5/28/19 18:41,5/28/19 18:41,NULL,2
33,Ceres,#ceres,7/15/19,12/11/19,7/15/19 16:57,7/15/19 16:57,NULL,2
34,Bayes,#,8/19/19,1/30/20,8/20/19 14:38,8/20/19 14:38,NULL,3
51,Deimos,#deimos,9/16/19,2/27/20,9/16/19 13:07,9/16/19 13:07,NULL,2
52,Europa,#europa,11/4/19,4/17/20,11/4/19 18:27,11/4/19 18:27,NULL,2
53,Fortuna,#fortuna,1/13/20,6/23/20,1/13/20 21:17,1/13/20 21:17,NULL,2
55,Curie,#curie,2/3/20,7/7/20,2/3/20 19:31,2/3/20 19:31,NULL,3
56,Apex,#apex,2/24/20,7/29/20,2/24/20 15:39,7/29/20 18:41,NULL,2
57,Ganymede,#ganymede,3/23/20,8/20/20,3/23/20 17:52,3/23/20 17:52,NULL,2
58,Hyperion,#hyperion,5/26/20,11/10/20,5/26/20 19:22,5/26/20 19:22,NULL,2
59,Darden,#darden,7/13/20,1/12/21,7/13/20 18:32,7/13/20 18:32,NULL,3
60,Io,#io,7/20/20,1/21/21,7/20/20 13:24,9/30/20 15:54,NULL,2
61,Bash,#bash,7/20/20,1/21/21,7/20/20 19:04,9/30/20 15:54,NULL,2
62,Jupiter,#jupiter,9/21/20,3/30/21,9/21/20 18:06,9/21/20 18:06,NULL,2
132,Kalypso,#kalypso,11/2/20,5/4/21,11/2/20 20:43,11/2/20 20:43,NULL,2
133,Easley,#easley,12/7/20,6/8/21,12/7/20 15:20,12/7/20 15:20,NULL,3
134,Luna,#luna,12/7/20,6/8/21,12/7/20 16:58,12/7/20 16:58,NULL,2
135,Marco,#marco,1/25/21,7/19/21,1/20/21 21:31,1/20/21 21:31,NULL,2
136,Placeholder for students in transition,#null,3/3/21,3/1/29,3/3/21 21:50,3/3/21 21:52,NULL,2
137,Florence,#florence,3/15/21,9/3/21,3/15/21 18:18,3/15/21 18:18,NULL,3
138,Neptune,#neptune,3/15/21,9/3/21,3/15/21 19:57,3/15/21 19:57,NULL,2
139,Oberon,#oberon,4/12/21,10/1/21,4/12/21 18:07,4/12/21 18:07,NULL,2